name,price,type,description,features_result,i_features_result,o_features_result
"57 Long Point Road, Lakeville, MA 02347","
            
                USD $509,900 
            
            ",Apartment,direction::Direction: Please do not visit the site without a scheduled appointment. Bedford Street Route 105 to Long Point Road or Marion Road to Long Point||,"Property Type::
                        Apartment
                    ||Land Size::
                
                    33,184.25
                    
                        m||Year Built::
                2021
            ||Car Spaces::1||House Size::
                    
                        131.27
                        
                            m||Rooms::2 bedrooms/2 bathrooms/1 livingroom/1  basement/||Architecture Style::Other||Num Floors::1.0||View Types::Water||Provider::
                Robert Paul Properties, Inc.
            ||County::
                Plymouth
            ||Subdivision::
                Other
            ||Parcel ID::
                3534
            ||Neighbourhoods::Lakeville||Address::57 Long Point Road, Lakeville, MA 02347||",Disabled Access::True||Roof Types::Asphalt||Floor Coverings::Carpet||,Basement::True||Garden::True||Lawn::True||Pond::True||Porch::True||Water Front::True||
"2512 Cranberry Highway, Wareham, MA 02571","
            
                USD $1,100,000 
            
            ",Other,direction::Direction: Travel Route 28 to #2512||,"Property Type::
                        Other
                    ||Land Size::
                
                    4,330.14
                    
                        m||Year Built::
                1900
            ||Car Spaces::20||House Size::
                    
                        278.71
                        
                            m||Architecture Style::Other||Num Floors::2.0||Provider::
                LAER Realty Partners
            ||County::
                Plymouth
            ||Parcel ID::
                109A/1032
            ||Neighbourhoods::Wareham||Address::2512 Cranberry Highway, Wareham, MA 02571||",Roof Types::Asphalt||Floor Coverings::Laminate||,
"390 Sprague Street, Fall River, MA 02724","
            
                USD $499,900 
            
            ",Townhouse,"direction::Direction: From Kennedy Park, head south on Broadway, turn right on Sprague||","Property Type::
                        Townhouse
                    ||Land Size::
                
                    283.28
                    
                        m||Year Built::
                1921
            ||Car Spaces::2||House Size::
                    
                        257.53
                        
                            m||Rooms::3 bedrooms/8 bathrooms/1  basement/||Architecture Style::Other||Num Floors::3.0||View Types::Water||Provider::
                Robert Paul Properties, Inc.
            ||County::
                Bristol
            ||Parcel ID::
                G-21 47
            ||Neighbourhoods::Fall River||Address::390 Sprague Street, Fall River, MA 02724||",Roof Types::Asphalt||Floor Coverings::Carpet||,Basement::True||Garden::True||Lawn::True||Porch::True||Exterior Types::Aluminum Siding||
"272 Williston Road, Sagamore Beach, MA 02562","
            
                USD $349,000 
            
            ",Land,direction::Direction: Meetinghouse to Williston to 274||,"Property Type::
                        Land
                    ||Land Size::
                
                    4,046.86
                    
                        m||Architecture Style::Other||View Types::Water||Provider::
                MA Realty Partners LLC, DBA Keller Williams Realty, Mid Upper Cape Cod
            ||Franchise::
                Keller Williams Realty
            ||County::
                Barnstable
            ||Parcel ID::
                7.0-48-0
            ||Neighbourhoods::Bourne||Address::272 Williston Road, Sagamore Beach, MA 02562||",,
"83 Shank Painter Road, Provincetown, MA 02657","
            
                USD $499,000 
            
            ",Other,"direction::Direction: Route 6 heading East, left on Shank Painter Road.Shank Painter Road to #83||","Property Type::
                        Other
                    ||Land Size::
                
                    1,295.00
                    
                        m||Year Built::
                2000
            ||House Size::
                    
                        107.02
                        
                            m||Rooms::1  basement/||Architecture Style::Other||Num Floors::1.0||Provider::
                Premier Commercial
            ||County::
                Barnstable
            ||Parcel ID::
                7-3-23-B-00A
            ||Neighbourhoods::Provincetown||Address::83 Shank Painter Road, Provincetown, MA 02657||",Disabled Access::True||Roof Types::Asphalt||Floor Coverings::Vinyl||,Basement::True||
"81 Province Lands Road, Provincetown, MA 02657","
            
                USD $849,000 
            
            ",Apartment,direction::Direction: Travel W on Bradford and take second left after the Foxberry Inn. Unit is on the right after driving through Herring Cove Village.||,"Property Type::
                        Apartment
                    ||Land Size::
                
                    607.03
                    
                        m||Year Built::
                1987
            ||Car Spaces::1||House Size::
                    
                        97.08
                        
                            m||Rooms::2 bedrooms/2 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                Gibson Sotheby's International Realty
            ||County::
                Barnstable
            ||Parcel ID::
                5-3-26--005
            ||Neighbourhoods::Provincetown||Address::81 Province Lands Road, Provincetown, MA 02657||",Floor Coverings::Carpet||,
"139 Bradford Street, Provincetown, MA 02657","
            
                USD $3,470,000 
            
            ",Townhouse,direction::Direction: Route 6 Left on Conwell.  Right on Bradford to #139.||,"Property Type::
                        Townhouse
                    ||Land Size::
                
                    364.22
                    
                        m||Year Built::
                1900
            ||Car Spaces::3||House Size::
                    
                        312.06
                        
                            m||Rooms::2 bedrooms/6 bathrooms/1  basement/||Architecture Style::Colonial||Num Floors::2.0||Provider::
                Kinlin Grover Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                12-1-135--002
            ||Neighbourhoods::Provincetown||Address::139 Bradford Street, Provincetown, MA 02657||",Fire Place::True||Hot Tub Spa::True||Sauna::True||Attic::True||Roof Types::Asphalt||Floor Coverings::Hardwood||,Basement::True||Deck::True||Garden::True||Lawn::True||
"139 Bradford Street, Provincetown, MA 02657","
            
                USD $3,470,000 
            
            ",Other,direction::Direction: Route 6 to Conwell.  Left on Conwell to Bradford.  Right on Bradford to #139.||,"Property Type::
                        Other
                    ||Land Size::
                
                    364.22
                    
                        m||Year Built::
                1900
            ||Car Spaces::3||House Size::
                    
                        312.06
                        
                            m||Rooms::1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                Kinlin Grover Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                12-1-135--001
            ||Neighbourhoods::Provincetown||Address::139 Bradford Street, Provincetown, MA 02657||",Disabled Access::True||Roof Types::Asphalt||Floor Coverings::Hardwood||,Basement::True||
"177 Commercial Street, Provincetown, MA 02657","
            
                USD $3,395,000 
            
            ",Other,"direction::Direction: Travel E on Rt 6 Take left at lights on Conwell, follow to Bradford Street.  Right on Bradford, left on Ryder, Right on Commercial follow Commercial unit you come to the property on your left.||","Property Type::
                        Other
                    ||Land Size::
                
                    364.22
                    
                        m||Year Built::
                1900
            ||House Size::
                    
                        313.64
                        
                            m||Rooms::1  basement/||Architecture Style::Other||Num Floors::2.0||View Types::Harbor||Provider::
                Gibson Sotheby's International Realty
            ||County::
                Barnstable
            ||Parcel ID::
                11-1-12-0
            ||Neighbourhoods::Provincetown||Address::177 Commercial Street, Provincetown, MA 02657||",Roof Types::Asphalt||Floor Coverings::Carpet||,Basement::True||Water Front::True||
"165 Commercial Street, Provincetown, MA 02657","
            
                USD $1,995,000 
            
            ",Apartment,"direction::Direction: Route Six to Shank Painter Road, left on Bradford Street, right on Winthrop Street, right on Commercial Street to Sandpiper on the water. Parking on the beach side.||","Property Type::
                        Apartment
                    ||Land Size::
                
                    1,699.68
                    
                        m||Year Built::
                1900
            ||Car Spaces::3||House Size::
                    
                        159.33
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::1.0||View Types::Water||Provider::
                SeasCape Realty, Inc.
            ||County::
                Barnstable
            ||Parcel ID::
                7-2-4--002
            ||Neighbourhoods::Provincetown||Address::165 Commercial Street, Provincetown, MA 02657||",Floor Coverings::Tile||,Water Front::True||
"75 Commercial Street, Provincetown, MA 02657","
            
                USD $2,795,000 
            
            ",House,"direction::Direction: Rt 6 to Shankpainter, RT on Bradford, LT on Franklin, RT on Commercial, property on L.||","Property Type::
                        House
                    ||Land Size::
                
                    202.34
                    
                        m||Year Built::
                1880
            ||House Size::
                    
                        162.67
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::1.0||View Types::Water||Provider::
                Gibson Sotheby's International Realty
            ||County::
                Barnstable
            ||Parcel ID::
                6-2-9-0
            ||Neighbourhoods::Provincetown||Address::75 Commercial Street, Provincetown, MA 02657||",Floor Coverings::Wood||,Deck::True||Water Front::True||
"75 Commercial Street, Provincetown, MA 02657","
            
                USD $2,795,000 
            
            ",Townhouse,"direction::Direction: Rt 6 to Shankpainter, RT on Bradford, LT on Franklin, RT on Commercial, property on L.||","Property Type::
                        Townhouse
                    ||Land Size::
                
                    202.34
                    
                        m||Year Built::
                1880
            ||House Size::
                    
                        162.67
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::1.0||View Types::Water||Provider::
                Gibson Sotheby's International Realty
            ||County::
                Barnstable
            ||Parcel ID::
                6-2-9-0
            ||Neighbourhoods::Provincetown||Address::75 Commercial Street, Provincetown, MA 02657||",Fire Place::True||Floor Coverings::Wood||,Deck::True||Water Front::True||
"205 Commercial Street, Provincetown, MA 02657","
            
                USD $199,000 
            
            ",Other,direction::Direction: Follow Commercial Street - just past the U.S. Post Office on the left side of the Street. Located at ''The Aquarium Mall.'' A food court with a 110 seat waterfront bar/seating for patrons.||,"Property Type::
                        Other
                    ||Land Size::
                
                    1,214.06
                    
                        m||Year Built::
                1980
            ||House Size::
                    
                        48.77
                        
                            m||Architecture Style::Other||Num Floors::1.0||View Types::Water||Provider::
                Kinlin Grover Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                11-1-4-0
            ||Neighbourhoods::Provincetown||Address::205 Commercial Street, Provincetown, MA 02657||",Roof Types::Tar and Gravel||,Water Front::True||Exterior Types::Block||
"258 Commercial Street, Provincetown, MA 02657","
            
                USD $1,749,000 
            
            ",Other,"direction::Direction: Commercial Street to #258, next to Provincetown Town Hall||","Property Type::
                        Other
                    ||Land Size::
                
                    849.84
                    
                        m||Year Built::
                1850
            ||Car Spaces::1||House Size::
                    
                        646.51
                        
                            m||Rooms::1  basement/||Architecture Style::Other||Num Floors::3.0||Provider::
                Premier Commercial
            ||County::
                Barnstable
            ||Parcel ID::
                11-3-80-0
            ||Neighbourhoods::Provincetown||Address::258 Commercial Street, Provincetown, MA 02657||",Disabled Access::True||Roof Types::Asphalt||Floor Coverings::Carpet||,Basement::True||
"44 Commercial Street, Provincetown, MA 02657","
            
                USD $6,500,000 
            
            ",Townhouse,direction::Direction: Commercial St. west to #44. Property is on the right||,"Property Type::
                        Townhouse
                    ||Land Size::
                
                    526.09
                    
                        m||Year Built::
                1855
            ||House Size::
                    
                        326.55
                        
                            m||Rooms::8 bedrooms/9 bathrooms/1  basement/||Architecture Style::Greek Revival||Num Floors::3.0||View Types::Water||Provider::
                Gibson Sotheby's International Realty
            ||County::
                Barnstable
            ||Parcel ID::
                5-4-20-0
            ||Neighbourhoods::Provincetown||Address::44 Commercial Street, Provincetown, MA 02657||",Attic::True||Cable Ready::True||Roof Types::Asphalt||Floor Coverings::Carpet||,Basement::True||Garden::True||Lawn::True||Patio::True||Exterior Types::Aluminum Siding||
"27 Brewster Street, Provincetown, MA 02657","
            
                USD $929,000 
            
            ",Apartment,"direction::Direction: Brewster between Bradford and Harry Kemp, east side of street. Unit is up one flight of exterior stairs.||","Property Type::
                        Apartment
                    ||Land Size::
                
                    728.43
                    
                        m||Year Built::
                1850
            ||Car Spaces::1||House Size::
                    
                        77.11
                        
                            m||Rooms::2 bedrooms/1 bathroom/||Architecture Style::Other||Num Floors::3.0||Provider::
                Barker Hudson Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                12-3-41--004
            ||Neighbourhoods::Provincetown||Address::27 Brewster Street, Provincetown, MA 02657||",Roof Types::Asphalt||Floor Coverings::Hardwood||,Deck::True||
"18 Standish Street, Provincetown, MA 02657","
            
                USD $849,000 
            
            ",Apartment,"direction::Direction: Bradford Street to Standish, property is on left directly across from Standish Avenue. Entrance to unit A is on left side of building.Parking is just beyond building, farthest to the right, marked A.||","Property Type::
                        Apartment
                    ||Land Size::
                
                    364.22
                    
                        m||Year Built::
                1850
            ||House Size::
                    
                        59.09
                        
                            m||Rooms::2 bedrooms/1 bathroom/||Architecture Style::Other||Num Floors::1.0||Provider::
                Coldwell Banker Pat Shultz Real Estate
            ||Franchise::
                Coldwell Banker Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                12-1-54--00A
            ||Neighbourhoods::Provincetown||Address::18 Standish Street, Provincetown, MA 02657||",Roof Types::Asphalt||Floor Coverings::Hardwood||,Deck::True||Lawn::True||
"4 Old Colony Way, Provincetown, MA 02657","
            
                USD $849,000 
            
            ",Apartment,"direction::Direction: Harry Kemp Way to Aunt Suckey's Way to a left on Old Colony Way.  # 4 on left, unit 13 is in the corner.||","Property Type::
                        Apartment
                    ||Land Size::
                
                    1,011.72
                    
                        m||Year Built::
                1985
            ||Car Spaces::2||House Size::
                    
                        103.12
                        
                            m||Rooms::2 bedrooms/2 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                Gibson Sotheby's International Realty
            ||County::
                Barnstable
            ||Parcel ID::
                12-3-33-C-313
            ||Neighbourhoods::Provincetown||Address::4 Old Colony Way, Provincetown, MA 02657||",Roof Types::Asphalt||Floor Coverings::Wood||,Patio::True||
"16 Harry Kemp Way, Provincetown, MA 02657","
            
                USD $899,900 
            
            ",Apartment,direction::Direction: Conwell to Harry Kemp. Left turn right after Ace hardware exit.||,"Property Type::
                        Apartment
                    ||Year Built::
                2002
            ||Car Spaces::2||House Size::
                    
                        94.76
                        
                            m||Rooms::2 bedrooms/2 bathrooms/1 livingroom/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                Gibson Sotheby's International Realty
            ||County::
                Barnstable
            ||Parcel ID::
                12-3-33-A-202
            ||Neighbourhoods::Provincetown||Address::16 Harry Kemp Way, Provincetown, MA 02657||",Fire Place::True||Roof Types::Asphalt||Floor Coverings::Wood||,Basement::True||
"16 Harry Kemp Way, Provincetown, MA 02657","
            
                USD $995,000 
            
            ",Apartment,direction::Direction: Conwell to Harry Kemp left turn right after Ace hardware exit.  16 Harry Kemp and then it is the first unit on the left side- #1.  No real estate sign.||,"Property Type::
                        Apartment
                    ||Land Size::
                
                    1,821.09
                    
                        m||Year Built::
                2003
            ||Car Spaces::1||House Size::
                    
                        113.34
                        
                            m||Rooms::2 bedrooms/2 bathrooms/1 livingroom/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                Kinlin Grover Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                12-3-33-A-101
            ||Neighbourhoods::Provincetown||Address::16 Harry Kemp Way, Provincetown, MA 02657||",Fire Place::True||Roof Types::Asphalt||Floor Coverings::Tile||,Basement::True||
"19 Central Street, Provincetown, MA 02657","
            
                USD $89,000 
            
            ",Apartment,"direction::Direction: Traveling from Town Center, turn left on Winthrop, then right on Commercial, and then a right onto Central Street. 19 Central is the last property on the right just before Bradford Street.||","Property Type::
                        Apartment
                    ||Land Size::
                
                    445.15
                    
                        m||Year Built::
                1850
            ||House Size::
                    
                        9.66
                        
                            m||Rooms::1 bathroom/||Architecture Style::Other||Num Floors::1.0||Provider::
                Cove Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                72-1013-004
            ||Neighbourhoods::Provincetown||Address::19 Central Street, Provincetown, MA 02657||",Floor Coverings::Wood||,
"18 Surrey Lane, Bourne, MA 02532","
            
                USD $299,900 
            
            ",Apartment,direction::Direction: Waterhouse Rd to Surrey Lane||,"Property Type::
                        Apartment
                    ||Land Size::
                
                    3,035.15
                    
                        m||Year Built::
                1981
            ||Car Spaces::2||House Size::
                    
                        173.54
                        
                            m||Rooms::3 bedrooms/3 bathrooms/1 livingroom/||Architecture Style::Other||Num Floors::2.0||Provider::
                High Pointe Properties
            ||County::
                Barnstable
            ||Parcel ID::
                27.0-128-1
            ||Neighbourhoods::Bourne||Address::18 Surrey Lane, Bourne, MA 02532||",Roof Types::Asphalt||Floor Coverings::Hardwood||,Deck::True||Lawn::True||
"15 Winthrop Street, Provincetown, MA 02657","
            
                USD $1,050,000 
            
            ",Apartment,direction::Direction: Bradford and Winthrop||,"Property Type::
                        Apartment
                    ||Land Size::
                
                    404.69
                    
                        m||Year Built::
                1900
            ||Car Spaces::1||House Size::
                    
                        137.22
                        
                            m||Rooms::1 bedroom/1 bathroom/1  basement/||Architecture Style::Other||Num Floors::1.0||Provider::
                Vance Haley Realty, LLC
            ||County::
                Barnstable
            ||Parcel ID::
                7-2-128-2-00B
            ||Neighbourhoods::Provincetown||Address::15 Winthrop Street, Provincetown, MA 02657||",Floor Coverings::Hardwood||,Basement::True||
"4 Mozart Avenue, Provincetown, MA 02657","
            
                USD $899,000 
            
            ",Apartment,"direction::Direction: Bradford Str to Prince Str to Mozart on right, # 4 on right.||","Property Type::
                        Apartment
                    ||Land Size::
                
                    728.43
                    
                        m||Year Built::
                1940
            ||Car Spaces::1||House Size::
                    
                        108.23
                        
                            m||Rooms::2 bedrooms/2 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                Gibson Sotheby's International Realty
            ||County::
                Barnstable
            ||Parcel ID::
                7-4-68--001
            ||Neighbourhoods::Provincetown||Address::4 Mozart Avenue, Provincetown, MA 02657||",Fire Place::True||,Basement::True||Patio::True||
"26 Alden Street, Provincetown, MA 02657","
            
                USD $68,900 
            
            ",Land,"direction::Direction: Alden Street, between Cemetery Rd and Bradford Street.||","Property Type::
                        Land
                    ||Land Size::
                
                    2,913.74
                    
                        m||Architecture Style::Other||Provider::
                Gibson Sotheby's International Realty
            ||County::
                Barnstable
            ||Parcel ID::
                12-1-34-Z-P05
            ||Neighbourhoods::Provincetown||Address::26 Alden Street, Provincetown, MA 02657||",,
"22 Mechanic Street, Provincetown, MA 02657","
            
                USD $589,000 
            
            ",Apartment,direction::Direction: Bradford Street West to Mechanic Street on the right. The property in the second house house on the left. Please park on Bradford Street.||,"Property Type::
                        Apartment
                    ||Land Size::
                
                    283.28
                    
                        m||Year Built::
                1830
            ||House Size::
                    
                        31.49
                        
                            m||Rooms::1 bedroom/1 bathroom/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                Gibson Sotheby's International Realty
            ||County::
                Barnstable
            ||Parcel ID::
                6-4-67-1-00B
            ||Neighbourhoods::Provincetown||Address::22 Mechanic Street, Provincetown, MA 02657||",Floor Coverings::Hardwood||,Basement::True||
"27 Court Street, Provincetown, MA 02657","
            
                USD $45,000 
            
            ",Land,direction::Direction: Take Bradford Street to Court Street and turn right. Bear right on Holway. Parking is on the left.||,"Property Type::
                        Land
                    ||Land Size::
                
                    1,659.21
                    
                        m||Architecture Style::Other||Provider::
                Coldwell Banker Pat Shultz Real Estate
            ||Franchise::
                Coldwell Banker Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                7-4-53-Z-P0E
            ||Neighbourhoods::Provincetown||Address::27 Court Street, Provincetown, MA 02657||",,
"27 Court Street, Provincetown, MA 02657","
            
                USD $45,000 
            
            ",Land,direction::Direction: Take Bradford Street to Court Street and turn right.  Bear right on Holway.  Parking is on the left.||,"Property Type::
                        Land
                    ||Land Size::
                
                    1,659.21
                    
                        m||Architecture Style::Other||Provider::
                Coldwell Banker Pat Shultz Real Estate
            ||Franchise::
                Coldwell Banker Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                7-4-53-Z-P0A
            ||Neighbourhoods::Provincetown||Address::27 Court Street, Provincetown, MA 02657||",,
"27 Court Street, Provincetown, MA 02657","
            
                USD $45,000 
            
            ",Land,direction::Direction: Take Bradford Street to Court Street and turn right. Bear right on Holway. Parking is on the left.||,"Property Type::
                        Land
                    ||Land Size::
                
                    1,659.21
                    
                        m||Architecture Style::Other||Provider::
                Coldwell Banker Pat Shultz Real Estate
            ||Franchise::
                Coldwell Banker Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                7-4-53-Z-P0D
            ||Neighbourhoods::Provincetown||Address::27 Court Street, Provincetown, MA 02657||",,
"27 Court Street, Provincetown, MA 02657","
            
                USD $45,000 
            
            ",Land,direction::Direction: Take Bradford Street to Court Street and turn right. Bear right on Holway. Parking is on the left.||,"Property Type::
                        Land
                    ||Land Size::
                
                    1,659.21
                    
                        m||Architecture Style::Other||Provider::
                Coldwell Banker Pat Shultz Real Estate
            ||Franchise::
                Coldwell Banker Real Estate
            ||County::
                Barnstable
            ||Parcel ID::
                7-4-53-Z-P0B
            ||Neighbourhoods::Provincetown||Address::27 Court Street, Provincetown, MA 02657||",,
"7 Tupper Road, Sandwich, MA 02563","
            
                USD $400,000 
            
            ",House,direction::Direction: Route 6A to Tupper Road.||,"Property Type::
                        House
                    ||Land Size::
                
                    2,630.46
                    
                        m||Year Built::
                1857
            ||Car Spaces::4||House Size::
                    
                        216.65
                        
                            m||Rooms::3 bedrooms/3 bathrooms/1 livingroom/1  basement/||Architecture Style::Other||Num Floors::1.0||Provider::
                Clockhouse Realty
            ||County::
                Barnstable
            ||Parcel ID::
                86-17-0
            ||Neighbourhoods::Sandwich||Address::7 Tupper Road, Sandwich, MA 02563||",Roof Types::Asphalt||Floor Coverings::Wood||,Basement::True||Lawn::True||Porch::True||
