name,price,type,description,features_result,i_features_result,o_features_result
"176 Magnolia Pl., Belleville, MI 48111","
            
                USD $93,900 
            
            ",House,"desc::Don't miss your change to OWN A HOME in Holiday Woods. This wonderful price gets you a 2021 4 bed/2 bath, 1456 sq. ft. home in a gorgeous neighborhood. Holiday Woods is the perfect place to make new memories! Call for a personal tour today!||","Property Type::
                        House
                    ||Year Built::
                2021
            ||Rooms::4 bedrooms/2 bathrooms/||Architecture Style::Other||Year Updated::2021||Provider::
                Holiday Woods
            ||Address::176 Magnolia Pl., Belleville, MI 48111||",,
"8860 Pioneer Street, Washington Twp., MI 48094","
            
                USD $379,310 
            
            ",Townhouse,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        Townhouse
                    ||Car Spaces::2||House Size::
                    
                        188.13
                        
                            m||Rooms::2 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::8860 Pioneer Street, Washington Twp., MI 48094||",,
"24300 Oak Ridge Boulevard, Lyon Township, MI 48178","
            
                USD $648,295 
            
            ",House,"direction::Direction: Take I-96. At I-96 and I-275, keep left at fork to continue on M-14 for 4 miles. Take Exit 18 for Beck Road. Continue on Beck road for 10 miles. Turn left onto 10 Mile Road. Follow approx. 3 miles. Oak Ridge will be on the right side.||","Property Type::
                        House
                    ||Car Spaces::3||House Size::
                    
                        253.90
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Oakland
            ||Subdivision::
                Oak Ridge
            ||Neighbourhoods::Oak Ridge||Address::24300 Oak Ridge Boulevard, Lyon Township, MI 48178||",,Basement::True||
"24304 Oak Ridge Boulevard, Lyon Township, MI 48178","
            
                USD $659,670 
            
            ",House,"direction::Direction: Take I-96. At I-96 and I-275, keep left at fork to continue on M-14 for 4 miles. Take Exit 18 for Beck Road. Continue on Beck road for 10 miles. Turn left onto 10 Mile Road. Follow approx. 3 miles. Oak Ridge will be on the right side.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        236.81
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Oakland
            ||Subdivision::
                Oak Ridge
            ||Neighbourhoods::Oak Ridge||Address::24304 Oak Ridge Boulevard, Lyon Township, MI 48178||",,Basement::True||
"24246 Oak Ridge Boulevard, Lyon Township, MI 48178","
            
                USD $574,900 
            
            ",House,"direction::Direction: Take I-96. At I-96 and I-275, keep left at fork to continue on M-14 for 4 miles. Take Exit 18 for Beck Road. Continue on Beck road for 10 miles. Turn left onto 10 Mile Road. Follow approx. 3 miles. Oak Ridge will be on the right side.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        236.81
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Oakland
            ||Subdivision::
                Oak Ridge
            ||Neighbourhoods::Oak Ridge||Address::24246 Oak Ridge Boulevard, Lyon Township, MI 48178||",,Basement::True||
"24246 Oak Ridge Boulevard, Lyon Township, MI 48178","
            
                USD $574,900 
            
            ",House,"direction::Direction: Take I-96. At I-96 and I-275, keep left at fork to continue on M-14 for 4 miles. Take Exit 18 for Beck Road. Continue on Beck road for 10 miles. Turn left onto 10 Mile Road. Follow approx. 3 miles. Oak Ridge will be on the right side.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        273.97
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Oakland
            ||Subdivision::
                Oak Ridge
            ||Neighbourhoods::Oak Ridge||Address::24246 Oak Ridge Boulevard, Lyon Township, MI 48178||",,Basement::True||
"24246 Oak Ridge Boulevard, Lyon Township, MI 48178","
            
                USD $577,900 
            
            ",House,"direction::Direction: Take I-96. At I-96 and I-275, keep left at fork to continue on M-14 for 4 miles. Take Exit 18 for Beck Road. Continue on Beck road for 10 miles. Turn left onto 10 Mile Road. Follow approx. 3 miles. Oak Ridge will be on the right side.||","Property Type::
                        House
                    ||Car Spaces::3||House Size::
                    
                        310.67
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Oakland
            ||Subdivision::
                Oak Ridge
            ||Neighbourhoods::Oak Ridge||Address::24246 Oak Ridge Boulevard, Lyon Township, MI 48178||",,Basement::True||
"24246 Oak Ridge Boulevard, Lyon Township, MI 48178","
            
                USD $547,900 
            
            ",House,"direction::Direction: Take I-96. At I-96 and I-275, keep left at fork to continue on M-14 for 4 miles. Take Exit 18 for Beck Road. Continue on Beck road for 10 miles. Turn left onto 10 Mile Road. Follow approx. 3 miles. Oak Ridge will be on the right side.||","Property Type::
                        House
                    ||Car Spaces::3||House Size::
                    
                        253.90
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Oakland
            ||Subdivision::
                Oak Ridge
            ||Neighbourhoods::Oak Ridge||Address::24246 Oak Ridge Boulevard, Lyon Township, MI 48178||",,Basement::True||
"24246 Oak Ridge Boulevard, Lyon Township, MI 48178","
            
                USD $562,900 
            
            ",House,"direction::Direction: Take I-96. At I-96 and I-275, keep left at fork to continue on M-14 for 4 miles. Take Exit 18 for Beck Road. Continue on Beck road for 10 miles. Turn left onto 10 Mile Road. Follow approx. 3 miles. Oak Ridge will be on the right side.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        260.22
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Oakland
            ||Subdivision::
                Oak Ridge
            ||Neighbourhoods::Oak Ridge||Address::24246 Oak Ridge Boulevard, Lyon Township, MI 48178||",,Basement::True||
"24246 Oak Ridge Boulevard, Lyon Township, MI 48178","
            
                USD $597,900 
            
            ",House,"direction::Direction: Take I-96. At I-96 and I-275, keep left at fork to continue on M-14 for 4 miles. Take Exit 18 for Beck Road. Continue on Beck road for 10 miles. Turn left onto 10 Mile Road. Follow approx. 3 miles. Oak Ridge will be on the right side.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        302.49
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Oakland
            ||Subdivision::
                Oak Ridge
            ||Neighbourhoods::Oak Ridge||Address::24246 Oak Ridge Boulevard, Lyon Township, MI 48178||",,Basement::True||
"4562 GALLAGHER Road, Rochester, MI 48306","
            
                USD $824,000 
            
            ",House,"direction::Direction: From Orion Road, turn and go west on Gallagher Road and turn onto 2nd driveway from the north side.||","Property Type::
                        House
                    ||Land Size::
                
                    10,724.18
                    
                        m||Year Built::
                1989
            ||House Size::
                    
                        453.74
                        
                            m||Rooms::5 bedrooms/7 bathrooms/1  basement/||Architecture Style::Tudor||Num Floors::2.0||Provider::
                KW Domain Birmingham
            ||Franchise::
                Keller Williams Realty
            ||County::
                Oakland
            ||Subdivision::
                SUPRVR'S PLAT NO 1 - OAKLAND TWP
            ||Parcel ID::
                1028254002
            ||Neighbourhoods::Oakland Twp||Address::4562 GALLAGHER Road, Rochester, MI 48306||",Sprinkler System::True||Cable Ready::True||Jetted Bath Tub::True||Wet Bar::True||Wired::True||Roof Types::Asphalt||,Basement::True||Exterior Types::Brick and Wood||
"3006 Shawnee, Waterford, MI 48329","
            
                USD $399,900 
            
            ",House,direction::Direction: Walton Blvd to Shawnee||,"Property Type::
                        House
                    ||Year Built::
                1965
            ||House Size::
                    
                        210.80
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Ranch||Num Floors::1.0||View Types::Water||Provider::
                Remerica Inc.
            ||County::
                Oakland
            ||Subdivision::
                Indian Woods Manor
            ||Parcel ID::
                1311276027
            ||Neighbourhoods::Waterford Twp||Address::3006 Shawnee, Waterford, MI 48329||",Fire Place::True||Cable Ready::True||Wired::True||,Basement::True||Dock::True||Water Front::True||Exterior Types::Brick and Wood||
"84 Mulberry, Belleville, MI 48111","
            
                USD $91,900 
            
            ",House,"desc::Don't miss your change to OWN A HOME in Holiday Woods. This wonderful price gets you a 2021 3 bed/2 bath, 1152 sq. ft. home in a gorgeous neighborhood. Holiday Woods is the perfect place to make new memories! Call for a personal tour today!||","Property Type::
                        House
                    ||Year Built::
                2021
            ||Rooms::3 bedrooms/2 bathrooms/||Architecture Style::Other||Year Updated::2021||Provider::
                Holiday Woods
            ||Address::84 Mulberry, Belleville, MI 48111||",,
"59520 Cranberry Drive, Washington Twp., MI 48094","
            
                USD $500,750 
            
            ",House,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        246.47
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::59520 Cranberry Drive, Washington Twp., MI 48094||",,Basement::True||
"59505 Lennox Drive, Washington Twp., MI 48094","
            
                USD $486,320 
            
            ",House,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        234.30
                        
                            m||Rooms::3 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::59505 Lennox Drive, Washington Twp., MI 48094||",,Basement::True||
"59503 Cranberry Drive, Washington Twp., MI 48094","
            
                USD $499,500 
            
            ",House,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        265.61
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::59503 Cranberry Drive, Washington Twp., MI 48094||",,Basement::True||
"8783 Pioneer Street, Washington Twp., MI 48094","
            
                USD $336,425 
            
            ",Townhouse,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        Townhouse
                    ||Car Spaces::2||House Size::
                    
                        137.50
                        
                            m||Rooms::2 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::8783 Pioneer Street, Washington Twp., MI 48094||",,
"8811 Pioneer Street, Washington Twp., MI 48094","
            
                USD $384,895 
            
            ",Townhouse,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        Townhouse
                    ||Car Spaces::2||House Size::
                    
                        188.13
                        
                            m||Rooms::2 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::8811 Pioneer Street, Washington Twp., MI 48094||",,
"8874 Pioneer Street, Washington Twp., MI 48094","
            
                USD $345,335 
            
            ",Townhouse,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        Townhouse
                    ||Car Spaces::2||House Size::
                    
                        164.72
                        
                            m||Rooms::2 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::8874 Pioneer Street, Washington Twp., MI 48094||",,
"8769 Pioneer Street, Washington Twp., MI 48094","
            
                USD $350,765 
            
            ",Townhouse,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        Townhouse
                    ||Car Spaces::2||House Size::
                    
                        164.72
                        
                            m||Rooms::2 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::8769 Pioneer Street, Washington Twp., MI 48094||",,
"8755 Pioneer Street, Washington Twp., MI 48094","
            
                USD $389,000 
            
            ",Townhouse,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        Townhouse
                    ||Car Spaces::2||House Size::
                    
                        188.13
                        
                            m||Rooms::2 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::8755 Pioneer Street, Washington Twp., MI 48094||",,
"8888 Pioneer Street, Washington Twp., MI 48094","
            
                USD $383,290 
            
            ",Townhouse,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        Townhouse
                    ||Car Spaces::2||House Size::
                    
                        188.13
                        
                            m||Rooms::2 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::8888 Pioneer Street, Washington Twp., MI 48094||",,
"8566 Pioneer Street, Washington Twp., MI 48094","
            
                USD $474,175 
            
            ",House,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        234.30
                        
                            m||Rooms::3 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::8566 Pioneer Street, Washington Twp., MI 48094||",,Basement::True||
"8720 Pioneer Street, Washington Twp., MI 48094","
            
                USD $324,900 
            
            ",Townhouse,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        Townhouse
                    ||Car Spaces::2||House Size::
                    
                        164.72
                        
                            m||Rooms::2 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::8720 Pioneer Street, Washington Twp., MI 48094||",,
"8454 Pioneer Street, Washington Twp., MI 48094","
            
                USD $483,615 
            
            ",House,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        House
                    ||Car Spaces::2||House Size::
                    
                        236.81
                        
                            m||Rooms::4 bedrooms/3 bathrooms/1  basement/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::8454 Pioneer Street, Washington Twp., MI 48094||",,Basement::True||
"59500 Acorn Drive, Washington Twp., MI 48094","
            
                USD $289,900 
            
            ",Townhouse,"direction::Direction: Take M-53 N and exit on 26 Mile (23B). Head west and make a right turn at Van Dyke Ave. Head north for a little over a mile, and the community will be located on the right, just south of Campground Rd.||","Property Type::
                        Townhouse
                    ||Car Spaces::2||House Size::
                    
                        137.50
                        
                            m||Rooms::2 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                MIHomes
            ||County::
                Macomb
            ||Subdivision::
                Autumn Park
            ||Neighbourhoods::Autumn Park||Address::59500 Acorn Drive, Washington Twp., MI 48094||",,
