name,price,type,description,features_result,i_features_result,o_features_result
"2521 River Vista Ct, Mount Vernon, WA 98273","
            
                USD $459,000 
            
            ",Apartment,"desc::Beautifully appointed newly constructed 2443 sqft condo with 3 bedroom, 3.5 bath condo features main floor living. The master bedroom, laundry, kitchen and living room are all located on the first floor. Lower floor offers a second master suite, a guest room with separate bathroom and a second living room. The views from this condo are amazing year round. Make sure to check out the virtual tour!!||","Property Type::
                        Apartment
                    ||Year Built::
                2019
            ||House Size::
                    
                        226.96
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Other||Provider::
                NextHome, Inc
            ||Franchise::
                Realty World
            ||Address::2521 River Vista Ct, Mount Vernon, WA 98273||",,
"7494 Glacier Springs Drive, Glacier, WA 98244","
            
                USD $700,000 
            
            ",House,"desc::The Mt Baker Wilderness awaits your next adventure! Turn-key & furnished Mt Baker cabin located in Glacier Springs, just a short stroll to the river, and about 25 minutes to the ski area. 5 minutes to town of Glacier for amenities. Lovingly cared for cabin on an oversized lot with spacious yard, firepit, lots of room for parking, & a covered front porch for the ""PNW Days"". Open floorplan with vaulted ceilings, wood floors, fireplace, and adjoining kitchen and dining room perfect for entertaining. 2 spacious bedrooms, 1.75 baths, plus a built-in bunk area. Home has been a successful vacation rental and seller is open to passing that info on. Real wood exterior, modern cabin feel. You will love your home away from home! Only 2 hrs to Seattle!||","Property Type::
                        House
                    ||Land Size::
                
                    959.11
                    
                        m||Year Built::
                2008
            ||House Size::
                    
                        92.53
                        
                            m||Rooms::2 bedrooms/2 bathrooms/||Architecture Style::Other||Provider::
                Engel & Volkers Kirkland
            ||Franchise::
                Engel & Völkers
            ||Subdivision::
                Glacier
            ||Address::7494 Glacier Springs Drive, Glacier, WA 98244||",,
"230 Hambelton Rd, Tieton, WA 98947","
            
                USD $1,055,000 
            
            ",House,"direction::Direction: US-12 toward Naches; South at stop light to S Naches Rd; (R) on Rosenkranz ; (R)on Potter; (L)on Hambelton house on LeftOr- Summitview to (R)on N Cowiche rd, (L)on Naches/Tieton ,(R) Potter, (L) Hamb||","Property Type::
                        House
                    ||Land Size::
                
                    57,789.16
                    
                        m||Year Built::
                2008
            ||House Size::
                    
                        587.89
                        
                            m||Rooms::6 bedrooms/4 bathrooms/||Architecture Style::Other||Num Floors::2.0||Provider::
                Keller Williams Yakima Valley
            ||Franchise::
                Keller Williams Realty
            ||Parcel ID::
                171408-12403
            ||Address::230 Hambelton Rd, Tieton, WA 98947||",Fire Place::True||Disabled Access::True||Roof Types::Composition Shingle||Floor Coverings::Carpet||,Deck::True||Garden::True||Patio::True||Skylight::True||RV Parking::True||
"154 BOARDWALK WAY, Kelso, WA 98626","
            
                USD $269,900 
            
            ",House,"direction::Direction: N on Westside Hwy, L on Rainbow, R on Boardwalk Way, Home is on Left.||","Property Type::
                        House
                    ||Land Size::
                
                    809.37
                    
                        m||Year Built::
                1997
            ||House Size::
                    
                        167.23
                        
                            m||Rooms::5 bedrooms/3 bathrooms/1 livingroom/||Architecture Style::Other||Num Floors::1.0||Provider::
                John L. Scott-Lvw
            ||Franchise::
                John L. Scott
            ||County::
                Cowlitz
            ||Parcel ID::
                R047590
            ||Neighbourhoods::Cowlitz County not in Woodland City Limits or Scho||Address::154 BOARDWALK WAY, Kelso, WA 98626||",Celling Fan::True||Roof Types::Composition Shingle||,Patio::True||Vaulted Ceiling::True||Exterior Types::Wood Siding||
"2414 34TH AVE, Longview, WA 98632","
            
                USD $329,900 
            
            ",House,direction::Direction: North on 34th off Hwy 4||,"Property Type::
                        House
                    ||Land Size::
                
                    728.43
                    
                        m||Year Built::
                1943
            ||House Size::
                    
                        119.10
                        
                            m||Rooms::3 bedrooms/1 bathroom/1 livingroom/||Architecture Style::Other||Num Floors::1.0||Provider::
                Matin Real Estate
            ||County::
                Cowlitz
            ||Parcel ID::
                02540
            ||Neighbourhoods::Cowlitz County not in Woodland City Limits or Scho||Address::2414 34TH AVE, Longview, WA 98632||",Celling Fan::True||Fire Place::True||Roof Types::Composition Shingle||Floor Coverings::Hardwood||,Deck::True||Lawn::True||Pool::True||
"600 Ravens Home Lane #Lot 8, Malaga, WA 98828","
            
                USD $275,000 
            
            ",Land,"desc::This 3.54ac lot in the Bluffs at Ravenwing Ranch is situated above the Columbia River. Offering luxurious seclusion & privacy yet close to Wenatchee, Chelan, Leavenworth & surrounded by incredible recreation. This gated community includes a master plan dedicated to enhancing owner investment. Access to community waterfront, trail system & 385 acres of open space for owners to recreate. Breathtaking natural beauty as far as the eye can see in this world class, destination development.||","Property Type::
                        Land
                    ||Land Size::
                
                    14,325.88
                    
                        m||Architecture Style::Other||Provider::
                Engel & Volkers Mercer Island
            ||Franchise::
                Engel & Völkers
            ||Subdivision::
                Malaga
            ||Address::600 Ravens Home Lane #Lot 8, Malaga, WA 98828||",,
"8 Crusher Lane, Naselle, WA 98638","
            
                USD $75,000 
            
            ",Land,,"Property Type::
                        Land
                    ||Land Size::
                
                    7,365.29
                    
                        m||Architecture Style::Other||Provider::
                Mike Swanson Realty
            ||Parcel ID::
                10090396022
            ||Address::8 Crusher Lane, Naselle, WA 98638||",,
"33607 G ST 6, Ocean Park, WA 98640","
            
                USD $215,000 
            
            ",Apartment,"direction::Direction: 295th follow to , right on G street||","Property Type::
                        Apartment
                    ||Year Built::
                1969
            ||House Size::
                    
                        106.47
                        
                            m||Rooms::2 bedrooms/2 bathrooms/1 livingroom/||Architecture Style::Other||Num Floors::2.0||View Types::Ocean||Provider::
                Anchor Realty
            ||County::
                Pacific
            ||Subdivision::
                SURFSIDE ESTATES
            ||Parcel ID::
                79532000006
            ||Neighbourhoods::Pacific County||Address::33607 G ST 6, Ocean Park, WA 98640||",Roof Types::Membrane||,Lawn::True||Patio::True||Water Front::True||Exterior Types::Vinyl Siding||
"Cabin 29 Northwoods, Cougar, WA 98616","
            
                USD $369,500 
            
            ",House,direction::Direction: I-5 to Woodland Exit; East on SR 503 to Cougar; Continue 1/2 hr past Cougar to 90 Rd; Go Right||,"Property Type::
                        House
                    ||Year Built::
                1971
            ||House Size::
                    
                        87.42
                        
                            m||Rooms::3 bedrooms/1 bathroom/1 livingroom/||Architecture Style::Other||Num Floors::2.0||View Types::Lake||Provider::
                Parker Brennan Real Esate
            ||County::
                Skamania
            ||Subdivision::
                Northwoods
            ||Parcel ID::
                96000029000000
            ||Neighbourhoods::Skamania Co: Unincorporated North||Address::Cabin 29 Northwoods, Cougar, WA 98616||",Roof Types::Metal||,Deck::True||Patio::True||Porch::True||Water Front::True||Exterior Types::Log||
"Buds Place, Yakima, WA","
            
                USD $33,191 
            
            ",Land,desc::Details :- Reference: GJSC-T53776. Located in Yakima.||,"Property Type::
                        Land
                    ||House Size::
                    
                        46,458.34
                        
                            m||Rooms::1 bedroom/1 bathroom/||Address::Buds Place, Yakima, WA||",,
"Cabin 195 Northwoods, Cougar, WA 98616","
            
                USD $187,000 
            
            ",House,direction::Direction: I-5 to Woodland Exit; E on 503; 20 miles past Cougar; R on 90 Rd for 1/2 mile to Northwoods; Go R||,"Property Type::
                        House
                    ||Year Built::
                1980
            ||House Size::
                    
                        100.15
                        
                            m||Rooms::3 bedrooms/1 bathroom/1 livingroom/||Architecture Style::Other||Num Floors::2.0||Provider::
                Chris Balmes Properties
            ||County::
                Skamania
            ||Subdivision::
                Northwoods
            ||Parcel ID::
                96000195000000
            ||Neighbourhoods::Skamania Co: Unincorporated North||Address::Cabin 195 Northwoods, Cougar, WA 98616||",Fire Place::True||Roof Types::Metal||,Deck::True||Garden::True||Lawn::True||Porch::True||Water Front::True||Exterior Types::Wood Siding||
"2003 S 84th Ave, Yakima, WA 98903","
            
                USD $455,000 
            
            ",House,direction::Direction: West on Washington to South on 72nd Ave to Straight on Coolidge to North on 84th Ave.||,"Property Type::
                        House
                    ||Land Size::
                
                    4,087.33
                    
                        m||Year Built::
                1974
            ||House Size::
                    
                        263.94
                        
                            m||Rooms::3 bedrooms/3 bathrooms/||Architecture Style::Split Level||Num Floors::1.0||Provider::
                Keller Williams Yakima Valley
            ||Franchise::
                Keller Williams Realty
            ||Parcel ID::
                181331-41016
            ||Address::2003 S 84th Ave, Yakima, WA 98903||",Fire Place::True||Roof Types::Composition Shingle||Floor Coverings::Carpet||,Deck::True||Patio::True||Exterior Types::Wood||
"178 BADGER RD 1/4, Kelso, WA 98626","
            
                USD $75,000 
            
            ",Land,direction::Direction: Old Hwy 99 to Mt. Pleasant Rd. to Badger Rd.||,"Property Type::
                        Land
                    ||Land Size::
                
                    8,134.19
                    
                        m||Architecture Style::Other||View Types::Territorial||Provider::
                Pacific Northwest Realty Group
            ||County::
                Cowlitz
            ||Parcel ID::
                WD2211017              
            ||Neighbourhoods::Cowlitz County not in Woodland City Limits or Scho||Address::178 BADGER RD 1/4, Kelso, WA 98626||",,
"137 Long Drive, Chelan, WA 98816","
            
                USD $260,500 
            
            ",Land,desc::Chelan Golf Course view .32 lot in Golf Course Terrace Third addition. Sweeping panoramic lake and territorial views. 2 minutes to town and a new development is in the lot offering next door. Great opportunity to have a unique Rock Landscape a Custom View home and great location.||,"Property Type::
                        Land
                    ||Architecture Style::Other||Provider::
                NextHome, Inc
            ||Franchise::
                Realty World
            ||Address::137 Long Drive, Chelan, WA 98816||",,
"Cabin 150 Northwoods, Cougar, WA 98616","
            
                USD $139,900 
            
            ",House,direction::Direction: I-5 to Woodland; East on SR 503 thru Cougar; Go about 1/2 hr past Cougar and then  Right on 90||,"Property Type::
                        House
                    ||Year Built::
                1978
            ||House Size::
                    
                        111.48
                        
                            m||Rooms::3 bedrooms/1 bathroom/1 livingroom/||Architecture Style::Other||Num Floors::2.0||Provider::
                Chris Balmes Properties
            ||County::
                Skamania
            ||Subdivision::
                Northwoods Swift Reservoir
            ||Parcel ID::
                96000150000000
            ||Neighbourhoods::Skamania Co: Unincorporated North||Address::Cabin 150 Northwoods, Cougar, WA 98616||",Roof Types::Composition Shingle||,Deck::True||Lawn::True||Porch::True||
"7610 W Nob Hill Blvd, Yakima, WA 98908","
            
                USD $140,900 
            
            ",House,"desc::Welcome to Meadowbrook Estates where we create a worthwhile community! Our community has appreciable amenities including a pool, basketball court, and playground on site. There are many great schools in the neighborhood for your family. We are also just a stone's throw away from Wide Hollow Creek, West Valley park, and even Meadowbrook Mall! We are in proximity to HWY 12, major bus lines, and Yakima air terminal. No dogs over 18"" at the shoulder / no vicious breeds - 2 cats or dogs under 25 lbs. are allowed.    A brand new 2022 Fleetwood Waverly Crest home with 3 bedrooms and 2 bathrooms at 1,280 square feet. This home measures at 28'x48' with marble countertops and an open floorpan with carpet and vinyl flooring. Refrigerator, Range and Dishwasher are included.    Meadowbrook Estates is an all ages manufactured home community located in Yakima, WA. SN: FLE210OR21-21822A/B||","Property Type::
                        House
                    ||Year Built::
                2022
            ||House Size::
                    
                        118.92
                        
                            m||Rooms::3 bedrooms/2 bathrooms/||Architecture Style::Other||Num Floors::1.0||Year Updated::2022||Provider::
                Amber Homes, LLC
            ||Address::7610 W Nob Hill Blvd, Yakima, WA 98908||",Floor Coverings::Carpet||,
"7610 W Nob Hill Blvd, Yakima, WA 98908","
            
                USD $144,900 
            
            ",House,"desc::A brand new 2022 Fleetwood home with 3 bedrooms and 2 bathrooms at 1,559 square feet. This home measures at 28'x56' with marble countertops, an open floorplan and work look vinyl flooring. Refrigerator, Range and Dishwasher are included. *Stock photo. New photos coming soon! Meadowbrook Estates is an all ages manufactured home community located in Yakima, WA. SN: FLE210OR21-22135A||","Property Type::
                        House
                    ||Year Built::
                2022
            ||House Size::
                    
                        144.84
                        
                            m||Rooms::3 bedrooms/2 bathrooms/||Architecture Style::Other||Num Floors::1.0||Year Updated::2022||Provider::
                Amber Homes, LLC
            ||Address::7610 W Nob Hill Blvd, Yakima, WA 98908||",Floor Coverings::Vinyl||,
"807 355TH PL, Ocean Park, WA 98640","
            
                USD $399,000 
            
            ",House,direction::Direction: I Pl||,"Property Type::
                        House
                    ||Land Size::
                
                    728.43
                    
                        m||Year Built::
                1976
            ||House Size::
                    
                        136.75
                        
                            m||Rooms::3 bedrooms/2 bathrooms/1 livingroom/1  basement/||Architecture Style::Other||Num Floors::1.0||Provider::
                Pacifica Homes, LLC dba Realty ONE Group Pacifica
            ||Franchise::
                Realty ONE Group
            ||County::
                Pacific
            ||Subdivision::
                SURFSIDE ESTATES
            ||Parcel ID::
                77019003007
            ||Neighbourhoods::Pacific County||Address::807 355TH PL, Ocean Park, WA 98640||",Roof Types::Composition Shingle||,Basement::True||Deck::True||
"Nna Dwinell Dr, Selah, WA 98942","
            
                USD $149,900 
            
            ",Land,"direction::Direction: Old Naches Hwy to Mapleway, continue onto Lookout Pt Rd, go South on Lookout Pt Dr||","Property Type::
                        Land
                    ||Land Size::
                
                    7,608.10
                    
                        m||Architecture Style::Other||Provider::
                Keller Williams Yakima Valley
            ||Franchise::
                Keller Williams Realty
            ||Parcel ID::
                181310-13436/181310-13437
            ||Address::Nna Dwinell Dr, Selah, WA 98942||",,
"151 Berriman Ln, Selah, WA 98942","
            
                USD $129,000 
            
            ",House,"direction::Direction: North Wenas Rd, Right, on Lampe Rd, Right on Berriman Ln to property.||","Property Type::
                        House
                    ||Land Size::
                
                    2,306.71
                    
                        m||Year Built::
                1936
            ||House Size::
                    
                        72.84
                        
                            m||Rooms::2 bedrooms/1 bathroom/||Architecture Style::Other||Num Floors::1.0||Provider::
                Kelly Right Real Estate
            ||Parcel ID::
                191419-33007
            ||Address::151 Berriman Ln, Selah, WA 98942||",,Garden::True||RV Parking::True||Exterior Types::Wood||
"7301 Modesto Way, Yakima, WA 98908","
            
                USD $625,000 
            
            ",House,"direction::Direction: West on Englewood, North on 72th, Right on Modesto.||","Property Type::
                        House
                    ||Land Size::
                
                    890.31
                    
                        m||Year Built::
                2019
            ||House Size::
                    
                        237.83
                        
                            m||Rooms::4 bedrooms/3 bathrooms/||Architecture Style::Other||Num Floors::1.0||Provider::
                Keller Williams Yakima Valley
            ||Franchise::
                Keller Williams Realty
            ||Parcel ID::
                181317-43455
            ||Address::7301 Modesto Way, Yakima, WA 98908||",Security System::True||Fire Place::True||Roof Types::Composition Shingle||Floor Coverings::Carpet||,Deck::True||Patio::True||Exterior Types::Stucco||
"Pine Needle  Lot 1, Cougar, WA 98616","
            
                USD $79,000 
            
            ",Land,direction::Direction: 22 miles from Cougar on USFSR25; Gate on Left on Left Side of Road; Gate May be Locked||,"Property Type::
                        Land
                    ||Land Size::
                
                    3,399.36
                    
                        m||Architecture Style::Other||Provider::
                Chris Balmes Properties
            ||County::
                Skamania
            ||Parcel ID::
                07062310070100
            ||Neighbourhoods::Skamania Co: Unincorporated North||Address::Pine Needle  Lot 1, Cougar, WA 98616||",,
"509 Ravens Home Lane #Lot20, Malaga, WA 98828","
            
                USD $340,000 
            
            ",Land,"desc::This 1.74ac lot in the Bluffs at Ravenwing Ranch is situated above the Columbia River. Offering luxurious seclusion & privacy yet close to Wenatchee, Chelan, Leavenworth & surrounded by incredible recreation. This gated community includes a master plan dedicated to enhancing owner investment. Access to community waterfront, trail system & 385 acres of open space for owners to recreate. Breathtaking natural beauty as far as the eye can see in this world class, destination development.||","Property Type::
                        Land
                    ||Land Size::
                
                    7,041.54
                    
                        m||Architecture Style::Other||Provider::
                Engel & Volkers Mercer Island
            ||Franchise::
                Engel & Völkers
            ||Subdivision::
                Malaga
            ||Address::509 Ravens Home Lane #Lot20, Malaga, WA 98828||",,Water Front::True||
"234 19TH AVE, Longview, WA 98632","
            
                USD $89,000 
            
            ",House,"direction::Direction: From 15th Ave/Oregon Way, take Alabama west to 19th Ave and turn left, house is on the left||","Property Type::
                        House
                    ||Land Size::
                
                    445.15
                    
                        m||Year Built::
                1925
            ||House Size::
                    
                        57.97
                        
                            m||Rooms::2 bedrooms/1 bathroom/1 livingroom/||Architecture Style::Other||Num Floors::1.0||Provider::
                Keller Williams Premier Partners
            ||Franchise::
                Keller Williams Realty
            ||County::
                Cowlitz
            ||Parcel ID::
                R025162
            ||Neighbourhoods::Cowlitz County not in Woodland City Limits or Scho||Address::234 19TH AVE, Longview, WA 98632||",Celling Fan::True||Roof Types::Composition Shingle||,Exterior Types::Wood||
"429 Ravens Home Lane #Lot18, Malaga, WA 98828","
            
                USD $350,000 
            
            ",Land,"desc::This 2.2 acre lot in the Bluffs at Ravenwing Ranch is situated above the Columbia River. Offering luxurious seclusion and privacy yet close to Wenatchee, Chelan, Leavenworth an d surrounded by incredible recreation. This gated community includes a master plan dedicated to enhancing owner investment. Access to community waterfront, trail system and 385 acres of open space for owners to recreate. Breathtaking natural beauty as far as the eye can see in this world class, destination development.||","Property Type::
                        Land
                    ||Land Size::
                
                    8,903.09
                    
                        m||Architecture Style::Other||Provider::
                Engel & Volkers Mercer Island
            ||Franchise::
                Engel & Völkers
            ||Subdivision::
                Malaga
            ||Address::429 Ravens Home Lane #Lot18, Malaga, WA 98828||",,
"671 Ravens Home Lane, Malaga, WA 98828","
            
                USD $1,875,000 
            
            ",House,"desc::Luxuriously designed in every way. This Syndicate Smith designed home has a beautiful open concept kitchen/dining/living space.  A section of the home is cantilevered above ground to maximize views from every room. There are large windows along w/ a river-facing covered outdoor patio space to take advantage of panoramic views of the Columbia River. All bedrooms have an ensuite full bath & the primary has a spa-like bath w/ walk-in shower/tub & closet. Covered front door entry w/ direct view of river, separate mudroom entrance off of garage & a home office. Waterfall edge kitchen island, luxury appliances with gas range & contemporary gas fireplace. Gravel ballast/membrane roof. Lrg detached 2 car garage. Gated Community. Under Construction||","Property Type::
                        House
                    ||Land Size::
                
                    6,636.85
                    
                        m||Year Built::
                2022
            ||House Size::
                    
                        248.79
                        
                            m||Rooms::3 bedrooms/4 bathrooms/||Architecture Style::Other||Provider::
                Engel & Volkers Mercer Island
            ||Franchise::
                Engel & Völkers
            ||Subdivision::
                Malaga
            ||Address::671 Ravens Home Lane, Malaga, WA 98828||",,
"2 Nymark DR, Cougar, WA 98616","
            
                USD $65,000 
            
            ",Land,direction::Direction: Forest Service 25 Road||,"Property Type::
                        Land
                    ||Land Size::
                
                    3,763.58
                    
                        m||Architecture Style::Other||View Types::Mountain||Provider::
                Keller Williams Premier Partners
            ||Franchise::
                Keller Williams Realty
            ||County::
                Skamania
            ||Parcel ID::
                07062310030200
            ||Neighbourhoods::Skamania Co: Unincorporated North||Address::2 Nymark DR, Cougar, WA 98616||",,
